x,inhib_on
-0.0414,0.0068
0.308,0.0105
0.6573,0.0142
1.0079,-0.0165
1.3572,-0.0128
1.7066,-0.0091
2.056,-0.0054
2.4053,-0.0017
2.7535,0.0365
3.0318,0.0739
3.38,0.112
3.6559,0.2183
4.0029,0.2909
4.28,0.3628
4.6257,0.4698
4.9028,0.5417
5.1788,0.648
5.5257,0.7206
5.8739,0.7587
6.1522,0.7961
6.5039,0.7309
6.787,0.6306
7.0701,0.5302
7.2845,0.3946
7.4989,0.259
7.6446,0.0883
7.859,-0.0473
8.0035,-0.1836
8.2191,-0.3536
8.3636,-0.4899
8.5094,-0.6607
8.7238,-0.7962
8.8695,-0.967
9.014,-1.1033
9.1585,-1.2396
9.3042,-1.4103
9.5186,-1.5459
9.6644,-1.7167
9.8787,-1.8522
10.0931,-1.9878
10.2377,-2.1241
10.5207,-2.2245
10.8038,-2.3248
11.1556,-2.39
11.5049,-2.3863
11.8531,-2.3482
12.1302,-2.2763
12.3362,-2.1708
12.6122,-2.0645
12.8869,-1.9237
13.0929,-1.8182
13.2977,-1.6781
13.5725,-1.5374
13.7785,-1.4318
14.0532,-1.2911
14.258,-1.1511
14.4641,-1.0455
14.7388,-0.9048
15.0147,-0.7985
15.2906,-0.6922
15.5665,-0.5859
15.8424,-0.4796
16.1195,-0.4077
16.4665,-0.3351
16.7436,-0.2632
17.0894,-0.1562
17.3677,-0.1188
17.7147,-0.0462
17.993,-0.0088
18.3411,0.0294
18.6194,0.0668
18.9676,0.1049
19.3158,0.1431
19.5953,0.146
